Pos,ID,Name,BV,SV,Team,10_xMins,11_xMins,12_xMins,13_xMins,14_xMins,15_xMins,16_xMins,17_xMins,18_xMins,19_xMins,10_Pts,11_Pts,12_Pts,13_Pts,14_Pts,15_Pts,16_Pts,17_Pts,18_Pts,19_Pts
F,284,Nketiah,5.4,5.4,Crystal Palace,0.00,0.00,0.00,0.00,22.20,22.20,22.20,48.30,48.30,48.30,0.00,0.00,0.00,0.00,1.17,1.10,1.05,2.28,2.54,2.53
F,286,Marsh,4.5,4.5,Crystal Palace,0.30,0.30,0.30,0.30,0.30,0.30,0.30,0.30,0.30,0.30,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02
G,287,Pickford,5.5,5.5,Everton,89.10,89.10,89.10,89.10,89.10,89.10,89.10,89.10,89.10,89.10,3.62,3.98,3.14,3.43,3.48,3.99,3.40,3.04,4.00,3.65
G,288,Travers,4.4,4.4,Everton,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.04,0.04,0.03,0.03,0.03,0.04,0.03,0.03,0.04,0.03
G,289,Tyrer,4.0,4.0,Everton,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
D,290,Branthwaite,5.3,5.3,Everton,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
D,291,Tarkowski,5.5,5.5,Everton,87.45,87.45,87.45,87.45,87.45,87.45,87.45,87.45,87.45,87.45,4.20,4.71,3.67,3.99,3.83,4.37,3.55,3.57,4.45,4.08
D,292,Mykolenko,4.9,4.9,Everton,82.95,82.95,82.95,82.95,82.95,82.95,82.95,82.95,82.95,82.95,3.47,3.92,2.80,3.19,3.01,3.68,2.68,2.64,3.69,3.23
D,293,O'Brien,5.0,5.0,Everton,84.60,84.60,84.60,84.60,84.60,84.60,84.60,84.60,84.60,84.60,3.24,3.62,2.41,3.02,2.72,3.51,2.32,2.40,3.47,3.06
D,294,Coleman,4.3,4.3,Everton,5.55,5.55,5.55,5.55,5.55,5.55,5.55,5.55,5.55,5.55,0.24,0.25,0.21,0.23,0.22,0.25,0.21,0.21,0.25,0.23
D,295,Keane,4.5,4.5,Everton,85.05,85.05,85.05,85.05,85.05,85.05,85.05,85.05,85.05,85.05,3.76,4.23,3.35,3.61,3.44,3.90,3.24,3.22,3.96,3.72
D,296,Patterson,4.4,4.4,Everton,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
D,297,Dixon,3.9,3.9,Everton,1.95,1.95,1.95,1.95,1.95,1.95,1.95,1.95,1.95,1.95,0.08,0.09,0.08,0.08,0.08,0.09,0.08,0.08,0.09,0.08
D,298,Welch,3.9,3.9,Everton,1.95,1.95,1.95,1.95,1.95,1.95,1.95,1.95,1.95,1.95,0.09,0.09,0.08,0.09,0.09,0.09,0.08,0.08,0.09,0.09
M,299,Ndiaye,6.5,6.5,Everton,82.20,82.20,82.20,82.20,82.20,82.20,82.20,0.00,0.00,0.00,4.72,4.92,4.29,4.54,4.29,4.84,4.10,0.00,0.00,0.00
M,300,McNeil,5.6,5.6,Everton,9.45,9.45,9.45,9.45,9.45,9.45,9.45,31.65,31.65,31.65,0.47,0.49,0.44,0.45,0.44,0.50,0.43,1.35,1.59,1.53
M,301,Alcaraz,5.2,5.2,Everton,16.20,16.20,16.20,16.20,16.20,16.20,16.20,66.75,66.75,66.75,0.70,0.74,0.67,0.70,0.65,0.74,0.64,2.37,2.89,2.74
M,302,Gana,5.4,5.4,Everton,80.40,80.40,80.40,80.40,80.40,80.40,80.40,0.00,0.00,0.00,2.94,3.20,2.92,2.99,2.82,3.25,2.70,0.00,0.00,0.00
M,303,Garner,5.0,5.0,Everton,82.50,82.50,82.50,82.50,82.50,82.50,82.50,79.80,79.80,79.80,3.21,3.56,3.22,3.26,3.06,3.62,2.99,3.00,3.07,3.27
M,304,Iroegbunam,4.9,4.9,Everton,14.40,14.40,14.40,14.40,14.40,14.40,14.40,51.00,51.00,51.00,0.49,0.51,0.48,0.48,0.48,0.51,0.46,1.64,1.67,1.74
M,306,Bates,4.4,4.4,Everton,0.30,0.30,0.30,0.30,0.30,0.30,0.30,0.30,0.30,0.30,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
M,307,Ebere,4.4,4.4,Everton,0.30,0.30,0.30,0.30,0.30,0.30,0.30,0.30,0.30,0.30,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
F,310,Barry,5.7,5.7,Everton,32.25,32.25,32.25,32.25,32.25,32.25,32.25,32.25,32.25,32.25,1.66,1.73,1.55,1.58,1.55,1.76,1.52,1.46,1.76,1.66
F,311,Beto,5.2,5.2,Everton,65.10,65.10,65.10,65.10,65.10,65.10,65.10,65.10,65.10,65.10,3.28,3.36,3.10,3.15,3.05,3.50,2.97,2.84,3.55,3.31
G,314,Leno,5.0,5.0,Fulham,89.10,89.10,89.10,89.10,89.10,89.10,89.10,89.10,89.10,89.10,3.97,3.37,3.95,3.00,2.80,3.40,3.73,3.67,3.42,3.03
D,316,Robinson,4.9,4.9,Fulham,9.45,9.45,9.45,9.45,9.45,9.45,9.45,9.45,9.45,9.45,0.47,0.39,0.45,0.37,0.34,0.40,0.41,0.41,0.40,0.37
D,317,Andersen,4.5,4.5,Fulham,50.25,76.80,87.45,87.45,87.45,87.45,87.45,87.45,87.45,87.45,3.09,3.79,4.43,3.87,2.87,4.15,3.77,4.39,4.01,3.86
